#	Sample	Instrument	Audit Result	Method	Filtered Vol	Added Vol	Live Status	PDF ATP	LIMS ATP	PDF TSB	LIMS TSB	PDF FTM	LIMS FTM	Max CV%	Titan ID	Discrepancies
39	ETX-260901-0045	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3265	3265	4921	4921	4%	T0001100924	None
40	ETX-260901-0041	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2389	2389	5837	5837	1%	T0001100929	None
41	ETX-260901-0042	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	2743	2743	5299	5299	3%	T0001100931	None
42	ETX-260901-0043	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3069	3069	7089	7089	1%	T0001100934	None
43	ETX-260901-0044	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3223	3223	5064	5064	0%	T0001100936	None
44	ETX-260901-0050	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3225	3225	5744	5744	2%	T0001100941	None
45	ETX-260901-0048	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3365	3365	5820	5820	2%	T0001100943	None
46	ETX-260901-0049	#2222	PASS	Membrane Filtration	12		Data Review	92940	92940	3096	3096	5225	5225	0%	T0001100945	None
47	ETX-260901-0141	#2011	PASS	Direct Inoculation		100	Data Review	92099	92099	241	241	289	289	11%	T0001101138	None
48	ETX-260901-0158	#2011	PASS	Direct Inoculation		40	Data Review	92099	92099	281	281	245	245	11%	T0001101166	None
49	ETX-260901-0316	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	1198	1198	3396	3396	2%	T0001101567	None
50	ETX-260901-0318	#2222	PASS	Direct Inoculation		30	Data Review	92940	92940	1111	1111	4333	4333	3%	T0001101576	None
51	ETX-260901-0321	#2222	PASS	Direct Inoculation		50	Data Review	92940	92940	2138	2138	5009	5009	22%	T0001101585	None
52	ETX-260901-0371	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	1364	1364	4042	4042	8%	T0001101695	None
53	ETX-260901-0476	#2011	BLOCK (DI Rule 9 violation: Added Volume is empty)	Direct Inoculation			Data Review	92099	92099	195	195	456	456	1%	T0001102067	DI Rule 9 violation: Added Volume is empty
54	ETX-260901-0510	#2222	PASS	Membrane Filtration	7.5		Data Review	92940	92940	2839	2839	5362	5362	3%	T0001102150	None
55	ETX-260901-0517	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	831	831	2439	2439	6%	T0001102199	None
56	ETX-260901-0532	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	838	838	2576	2576	5%	T0001102240	None
57	ETX-260901-0553	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	913	913	2834	2834	2%	T0001102282	None
58	ETX-260901-0565	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	1160	1160	3287	3287	4%	T0001102298	None
59	ETX-260901-0574	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	1185	1185	2232	2232	0%	T0001102314	None
60	ETX-260901-0629	#2222	PASS	Membrane Filtration	15		Data Review	92940	92940	3158	3158	5982	5982	2%	T0001102436	None
61	ETX-260901-0632	#2222	PASS	Direct Inoculation		20	Data Review	92940	92940	2933	2933	7819	7819	3%	T0001102450	None
62	ETX-260901-0731	#2222	PASS	Membrane Filtration	15		Data Review	92940	92940	2953	2953	6292	6292	4%	T0001102685	None
63	ETX-260901-0784	#2222	PASS	Membrane Filtration	15		Data Review	92940	92940	3229	3229	5191	5191	3%	T0001102830	None
64	ETX-260902-0437	#2011	PASS	Direct Inoculation		50	Data Review	92099	92099	2870	2870	9937	9937	N/A	T0001104039	None
